TENURE,AGE,GENDER,NATIONALITY,STATE,STATUS_BEFORE,STATUS_AFTER,OFFER_TAKER,OFFER_TAKE_UP_DT,DATA_PURC_BEFORE,DATA_PURC_AFTER,DATA_CHRG_BEFORE,DATA_CHRG_AFTER,DATA_USG_BEFORE,DATA_USG_AFTER,VOICE_USG_BEFORE,VOICE_USG_AFTER,RLD_IND_BEFORE,RLD_IND_AFTER,RLD_AMT_BEFORE,RLD_AMT_AFTER,CPA_RVN_BEFORE,CPA_RVN_AFTER,ARPU_BEFORE,ARPU_AFTER,ACTVIITY_DAYS_AFTER,ACTIVITY_STATUS_AFTER
95,27,Female,Malaysia,SABAH,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,34,NO ACTIVITY SINCE SEP
19,27,Male,Malaysia,TERENGGANU,Active,Active,N,?,N,N,?,?,0.000000,0.000004,0.0000,0.0000,N,N,?,?,?,?,?,?,0,DURING & AFTER CAMP
16,36,Male,Malaysia,PERLIS,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000000,1.681042,0.6167,2.7833,Y,N,5.00,?,?,?,1.000000,1.000000,0,BEFORE & AFTER CAMP
15,71,Female,Malaysia,PAHANG,Active,Active,Y,10/5/2022,Y,N,15.00,?,6.058599,0.354663,0.0333,0.0000,N,N,?,?,?,?,0.200000,?,0,BEFORE & AFTER CAMP
39,22,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,0.180000,?,2,DURING & AFTER CAMP
89,35,Male,Malaysia,KLANG VALLEY,Active,Active,Y,10/5/2022,Y,N,35.00,?,3.107971,0.000000,0.2333,0.0000,Y,N,90.00,?,?,?,89.400000,?,35,NO ACTIVITY SINCE SEP
54,27,Male,Malaysia,JOHORE,Active,Active,Y,10/5/2022,Y,N,15.00,?,0.257728,0.470117,2.3000,19.6167,Y,Y,5.00,5.00,?,?,2.100000,7.800000,7,BEFORE & AFTER CAMP
24,28,Female,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,5,DURING & AFTER CAMP
83,25,Unspecified,Malaysia,SABAH,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000022,2.946987,0.0000,0.0000,N,Y,?,10.00,3.90,?,3.900000,?,1,BEFORE & AFTER CAMP
25,29,Female,Malaysia,KEDAH,Active,Active,Y,10/6/2022,Y,Y,15.00,1.50,6.337295,8.806281,0.0000,0.0000,Y,Y,5.00,5.00,?,?,3.030000,6.050000,2,DURING & AFTER CAMP
45,64,Male,Malaysia,JOHORE,Active,Active,N,?,N,N,?,?,0.000000,0.000000,0.0000,0.0000,N,N,?,?,?,?,?,?,33,NO ACTIVITY SINCE SEP
98,32,Male,Malaysia,SARAWAK,Active,Active,Y,10/6/2022,Y,N,15.00,?,0.000448,0.000000,0.0000,0.0000,Y,N,5.00,?,?,?,?,?,37,NO ACTIVITY SINCE SEP
20,59,Female,Malaysia,KLANG VALLEY,Active,Active,Y,10/6/2022,Y,N,15.00,?,26.818220,0.000000,7.5000,0.0000,Y,N,45.00,?,?,?,31.050000,?,34,NO ACTIVITY SINCE SEP
